Check Name,Found Count,Total Count,Percentage,Details
Log Groups Categorization,11,11,100.0%,"{""Vended Logs"": 9, ""Custom Logs"": 2}"
Log Groups Retention Policies,10,10,100.0%,"{""with_retention"": 10, ""without_retention"": 0}"
Log Insights Query Definitions,0,1,0.0%,"{""count"": 0}"
Log Insights Query History,0,1,0.0%,"{""count"": 0}"
Metric Filters,0,1,0.0%,"{""count"": 0}"
Subscription Filters,0,1,0.0%,"{""log_groups_with_subscriptions"": 0, ""total_log_groups"": 9}"
EC2 CloudWatch Agent,0,0,0.0%,
Lambda JSON Structured Logging,0,9,0.0%,
ECS Structured Logging,0,0,0.0%,
EKS Control Plane Logs,0,5,0.0%,
EKS CloudWatch Observability Add-on,0,1,0.0%,
Have you enabled anomaly detection?,1,1,100.0%,
Do you have log export tasks configured for archiv,1,1,100.0%,
Have you implemented Cross-Account and Cross-Regio,1,1,100.0%,
CloudWatch Cross-Account Observability,0,1,0.0%,"{""links"": 0, ""sinks"": 0}"
What percentage of application logs use structured,1,1,100.0%,
Do you have field index policies configured for fa,1,1,100.0%,
What percentage of production EC2 instances have d,0,1,0.0%,
What percentage of ECS Clusters have monitoring en,1,1,100.0%,
Do you have ECS clusters with Container Insights e,1,1,100.0%,
Do you have EKS clusters with CloudWatch Observabi,1,1,100.0%,
What percentage of Lambda functions have Lambda In,1,1,100.0%,
Are you publishing custom business and application,1,1,100.0%,
Are CloudWatch Agents configured to collect system,1,1,100.0%,
Have you configured metric streams for real-time e,1,1,100.0%,
Do you use X-Ray service maps to visualize applica,1,1,100.0%,
Do you have custom X-Ray sampling rules configured,0,1,0.0%,
Do you have X-Ray groups configured for focused tr,1,1,100.0%,
Do you have transaction search enabled?,1,1,100.0%,
Do your Lambda functions have X-Ray tracing enable,0,1,0.0%,
Do you have X-Ray Insights configured for anomaly ,1,1,100.0%,
Do your traces contain custom annotations indicati,1,1,100.0%,
Do you have CloudWatch dashboards for visualizing ,1,1,100.0%,
Do you have CloudWatch alarms configured for your ,1,1,100.0%,
Do you use composite alarms to reduce alarm noise?,1,1,100.0%,
Do your alarms send notifications to SNS topics?,1,1,100.0%,
Do you use anomaly detection models for adaptive a,1,1,100.0%,
Do you use resource tags for organizing and managi,1,1,100.0%,
Do you use CloudWatch Synthetics to monitor applic,1,1,100.0%,
Do you use CloudWatch RUM to monitor real user exp,1,1,100.0%,
Do you have any Systems Manager OpsCenter actions ,1,1,100.0%,
Do you use AWS DevOps Agent for AI-assisted troubl,1,1,100.0%,
Do you have any Lambda actions configured with you,1,1,100.0%,
Have you configured CloudWatch Investigations acti,1,1,100.0%,
Do you have any EC2 actions configured with your a,1,1,100.0%,
Do you have dashboards configured with variables?,1,1,100.0%,
Do you use AWS Application Signals to monitor appl,1,1,100.0%,
Have you defined Service Level Objectives (SLOs) f,1,1,100.0%,
Do your log groups have resource tags for retentio,1,1,100.0%,
Do you have stale or unused log groups that are co,1,1,100.0%,
